dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,regret,top1_correct,top3_correct
wisconsin,random_forest,gradient_boosting,none,smote_tomek,0.9695724860430164,0.9695724860430164,0.9760671661141908,0.0,0.006494680071174375,0.006494680071174375,0.0064946800711743,False,False
yeast1,random_forest,gradient_boosting,adasyn,smote_tomek,0.7063534771707733,0.719338061465721,0.7315821634877828,0.012984584294947643,0.025228686317009474,0.012244102022061831,0.0122441020220618,False,True
ecoli-0_vs_1,xgboost,gradient_boosting,adasyn,smote_enn,0.98001998001998,0.975099037917374,0.9899488304093568,-0.004920942102606074,0.009928850389376742,0.014849792491982816,0.0148497924919828,False,False
glass1,xgboost,gradient_boosting,adasyn,ros,0.8174728889971976,0.8194092827004219,0.8275665939899517,0.0019363937032242928,0.010093704992754082,0.00815731128952979,0.0081573112895297,False,True
haberman,xgboost,gradient_boosting,ros,smote_enn,0.550908090258668,0.557703783267693,0.6397174254317111,0.006795693009024939,0.08880933517304301,0.08201364216401807,0.082013642164018,False,False
iris0,xgboost,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,xgboost,gradient_boosting,adasyn,none,0.9305993992368964,0.9126112189393464,0.9305993992368964,-0.017988180297550005,0.0,0.017988180297550005,0.01798818029755,False,False
pima,xgboost,gradient_boosting,adasyn,none,0.7361390827659384,0.7304530785692559,0.7361390827659384,-0.005686004196682526,0.0,0.005686004196682526,0.0056860041966825,False,False
segment0,xgboost,gradient_boosting,none,none,0.992910361224468,0.992910361224468,0.992910361224468,0.0,0.0,0.0,0.0,True,True
shuttle-c0-vs-c4,xgboost,gradient_boosting,none,none|ros|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,xgboost,gradient_boosting,none,ros,0.9767920335774832,0.9767920335774832,0.9815166808677984,0.0,0.004724647290315187,0.004724647290315187,0.0047246472903151,False,True
vowel0,xgboost,gradient_boosting,ros,none,0.9107273731238392,0.9038134808101173,0.9107273731238392,-0.00691389231372197,0.0,0.00691389231372197,0.0069138923137219,False,True
wisconsin,xgboost,gradient_boosting,ros,smote_enn,0.9663060713908171,0.9615290738063498,0.9680009744944807,-0.0047769975844673684,0.001694903103663603,0.0064719006881309715,0.0064719006881309,False,False
yeast1,xgboost,gradient_boosting,ros,smote_tomek,0.6963947375929667,0.7092856210003918,0.7104116832431071,0.012890883407425169,0.014016945650140444,0.0011260622427152756,0.0011260622427152,False,False
ecoli-0_vs_1,logistic_regression,xgboost,smote_enn,smote_tomek,0.9798976608187132,0.9649290610553164,0.9849695975951356,-0.014968599763396817,0.00507193677642237,0.020040536539819187,0.0200405365398191,False,True
glass1,logistic_regression,xgboost,none,smote_enn,0.5015185021376971,0.5015185021376971,0.61023457900858,0.0,0.10871607687088292,0.10871607687088292,0.1087160768708829,False,False
haberman,logistic_regression,xgboost,smote,smote_enn,0.5344040574809805,0.625339366515837,0.6425233644859814,0.09093530903485647,0.10811930700500083,0.01718399797014436,0.0171839979701443,False,False
iris0,logistic_regression,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,logistic_regression,xgboost,rus,none,0.847852850384496,0.8166609947249479,0.847852850384496,-0.031191855659548073,0.0,0.031191855659548073,0.031191855659548,False,False
pima,logistic_regression,xgboost,rus,none,0.737580065691888,0.7216912081288213,0.737580065691888,-0.015888857563066794,0.0,0.015888857563066794,0.0158888575630667,False,False
segment0,logistic_regression,xgboost,none,none,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.0,True,True
