dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,regret,top1_correct,top3_correct
ecoli-0_vs_1,random_forest,gradient_boosting,smote,none|ros|smote_enn,0.9899488304093568,0.9849695975951356,0.9899488304093568,-0.004979232814221191,0.0,0.004979232814221191,0.0049792328142211,False,True
glass1,random_forest,gradient_boosting,smote_tomek,ros,0.8335967090576166,0.8220852895148669,0.8572169916228037,-0.011511419542749701,0.023620282565187112,0.03513170210793681,0.0351317021079368,False,False
haberman,random_forest,gradient_boosting,ros,smote_enn,0.529559748427673,0.5585256968641115,0.655656819221685,0.028965948436438516,0.126097070794012,0.09713112235757349,0.0971311223575734,False,False
iris0,random_forest,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,random_forest,gradient_boosting,ros,none,0.9345174973488866,0.9336471989447792,0.9345174973488866,-0.0008702984041073503,0.0,0.0008702984041073503,0.0008702984041073,False,False
pima,random_forest,gradient_boosting,adasyn,smote_enn,0.7354267425456938,0.7413054974030583,0.7431733533861193,0.005878754857364443,0.007746610840425494,0.0018678559830610508,0.001867855983061,False,False
segment0,random_forest,gradient_boosting,none,adasyn,0.9946556506999986,0.9946556506999986,0.9964641357967948,0.0,0.0018084850967962085,0.0018084850967962085,0.0018084850967962,False,False
shuttle-c0-vs-c4,random_forest,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,random_forest,gradient_boosting,none,none,0.9860331250103184,0.9860331250103184,0.9860331250103184,0.0,0.0,0.0,0.0,True,True
vowel0,random_forest,gradient_boosting,adasyn,none,0.9125866035090584,0.8618523657405914,0.9125866035090584,-0.05073423776846697,0.0,0.05073423776846697,0.0507342377684669,False,False
