dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,regret,top1_correct,top3_correct,full_evaluation_time_seconds,selected_strategy_time_seconds,savings_seconds,savings_percent
glass1,decision_tree,gradient_boosting,smote_enn,none,0.0673993159717691,False,True,0.7398563999999996,0.1206399000000004,0.6192164999999993,83.69414659385248
haberman,decision_tree,gradient_boosting,smote_enn,smote_enn,0.0,True,True,0.6776106999999986,0.1094745000000001,0.5681361999999984,83.84404201409447
iris0,decision_tree,gradient_boosting,smote_enn,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,0.9672043000000058,0.1949620000000003,0.7722423000000055,79.84272815991419
page-blocks0,decision_tree,gradient_boosting,adasyn,none,0.0151573023801881,False,True,7.595065100000003,1.1676313,6.427433800000003,84.62644777067152
pima,decision_tree,gradient_boosting,none,smote_enn,0.0297209746565257,False,False,1.4682680999999986,0.1650589,1.3032091999999986,88.75825879483453
segment0,decision_tree,gradient_boosting,none,adasyn,0.0043849298145633,False,True,5.426655400000001,0.3328682,5.093787200000001,93.866052375465
shuttle-c0-vs-c4,decision_tree,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,2.1616400000000002,0.2338208999999995,1.9278191000000007,89.1831711108233
vehicle2,decision_tree,gradient_boosting,smote_enn,none,0.0189238752142956,False,True,1.5138356999999996,0.5276239999999994,0.9862117000000001,65.14654793779803
vowel0,decision_tree,gradient_boosting,none,adasyn,0.0315906186252693,False,True,1.0065831999999975,0.0795946,0.9269885999999975,92.09259602186883
wisconsin,decision_tree,gradient_boosting,smote_enn,none,0.0063400093606426,False,True,0.9080225999999996,0.1703713999999996,0.7376512,81.2370969621241
yeast1,decision_tree,gradient_boosting,smote_enn,none,0.0091555799781563,False,True,2.4684808,0.5484498000000002,1.9200309999999998,77.78188916843104
ecoli-0_vs_1,random_forest,gradient_boosting,smote,none|ros|smote_enn,0.0049792328142211,False,True,24.150073400000004,3.823396299999999,20.326677100000005,84.16817938118567
glass1,random_forest,gradient_boosting,smote_tomek,ros,0.0351317021079368,False,False,28.071075199999996,3.8806072999999977,24.190467899999998,86.17577961531022
haberman,random_forest,gradient_boosting,ros,smote_enn,0.0971311223575734,False,False,25.6776669,3.0236871,22.6539798,88.22444768142077
