dataset,classifier,meta_model,threshold,selected_resampling,predicted_delta_for_selection,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,selected_runtime_seconds,full_evaluation_runtime_seconds,savings_seconds,savings_percent,is_no_resampling,improves_over_baseline,matches_oracle
segment0,decision_tree,ridge,0.0,none,-0.01427782734368821,0.9849535772068706,0.9849535772068706,0.989338507021434,0.0,0.004384929814563399,0.004384929814563399,0.3328682,5.426655400000001,5.093787200000001,93.866052375465,True,False,False
shuttle-c0-vs-c4,decision_tree,ridge,0.0,none,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2338208999999995,2.1616400000000002,1.9278191000000007,89.1831711108233,True,False,True
vehicle2,decision_tree,ridge,0.0,smote_enn,0.012827539222364459,0.9507111489807956,0.9317872737665,0.9507111489807956,-0.018923875214295616,0.0,0.018923875214295616,0.5276239999999994,1.5138356999999996,0.9862117000000001,65.14654793779803,False,False,False
vowel0,decision_tree,ridge,0.0,smote_enn,0.005587375504857328,0.8512122885397319,0.850373999157185,0.8828029071650012,-0.0008382893825468196,0.03159061862526935,0.03242890800781617,0.2290269000000009,1.0065831999999975,0.7775562999999965,77.24709691161134,False,False,False
wisconsin,decision_tree,ridge,0.0,smote_enn,0.015260310482212214,0.953291215956496,0.9469512065958534,0.953291215956496,-0.006340009360642607,0.0,0.006340009360642607,0.1703713999999996,0.9080225999999996,0.7376512,81.2370969621241,False,False,False
yeast1,decision_tree,ridge,0.0,smote_enn,0.0013495936875356218,0.6783822319268029,0.6692266519486466,0.6783822319268029,-0.009155579978156303,0.0,0.009155579978156303,0.5484498000000002,2.4684808,1.9200309999999998,77.78188916843104,False,False,False
ecoli-0_vs_1,decision_tree,ridge,0.005,none,-0.007541403598994356,0.9702058504875406,0.9702058504875406,0.9899488304093568,0.0,0.019742979921816173,0.019742979921816173,0.1590112999999995,0.7773905000000008,0.6183792000000012,79.54550512258648,True,False,False
glass1,decision_tree,ridge,0.005,smote_enn,0.009915750044364957,0.7609506833036244,0.6935513673318552,0.7609506833036244,-0.06739931597176918,0.0,0.06739931597176918,0.1206399000000004,0.7398563999999996,0.6192164999999993,83.69414659385248,False,False,False
haberman,decision_tree,ridge,0.005,none,0.02341348838559343,0.5658193101802125,0.5658193101802125,0.6397058823529411,0.0,0.07388657217272865,0.07388657217272865,0.0980717999999996,0.6776106999999986,0.579538899999999,85.52682240702518,True,False,False
iris0,decision_tree,ridge,0.005,none,-0.0036108355281896376,1.0,1.0,1.0,0.0,0.0,0.0,0.1019786000000024,0.9672043000000058,0.8652257000000034,89.45635374036264,True,False,True
page-blocks0,decision_tree,ridge,0.005,smote_enn,0.028831816213177763,0.9124443797226672,0.9041625104634836,0.9124443797226672,-0.008281869259183616,0.0,0.008281869259183616,2.3035964,7.595065100000003,5.291468700000003,69.66982679318971,False,False,False
pima,decision_tree,ridge,0.005,none,-0.0028173797957471436,0.6715751896474788,0.6715751896474788,0.7012961643040045,0.0,0.02972097465652579,0.02972097465652579,0.1650589,1.4682680999999986,1.3032091999999986,88.75825879483453,True,False,False
segment0,decision_tree,ridge,0.005,none,-0.01427782734368821,0.9849535772068706,0.9849535772068706,0.989338507021434,0.0,0.004384929814563399,0.004384929814563399,0.3328682,5.426655400000001,5.093787200000001,93.866052375465,True,False,False
shuttle-c0-vs-c4,decision_tree,ridge,0.005,none,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2338208999999995,2.1616400000000002,1.9278191000000007,89.1831711108233,True,False,True
vehicle2,decision_tree,ridge,0.005,smote_enn,0.012827539222364459,0.9507111489807956,0.9317872737665,0.9507111489807956,-0.018923875214295616,0.0,0.018923875214295616,0.5276239999999994,1.5138356999999996,0.9862117000000001,65.14654793779803,False,False,False
vowel0,decision_tree,ridge,0.005,smote_enn,0.005587375504857328,0.8512122885397319,0.850373999157185,0.8828029071650012,-0.0008382893825468196,0.03159061862526935,0.03242890800781617,0.2290269000000009,1.0065831999999975,0.7775562999999965,77.24709691161134,False,False,False
wisconsin,decision_tree,ridge,0.005,smote_enn,0.015260310482212214,0.953291215956496,0.9469512065958534,0.953291215956496,-0.006340009360642607,0.0,0.006340009360642607,0.1703713999999996,0.9080225999999996,0.7376512,81.2370969621241,False,False,False
yeast1,decision_tree,ridge,0.005,none,-0.0006007463096435739,0.6783822319268029,0.6783822319268029,0.6783822319268029,0.0,0.0,0.0,0.1223587999999997,2.4684808,2.3461220000000003,95.04315366763234,True,False,True
ecoli-0_vs_1,decision_tree,ridge,0.01,none,-0.007541403598994356,0.9702058504875406,0.9702058504875406,0.9899488304093568,0.0,0.019742979921816173,0.019742979921816173,0.1590112999999995,0.7773905000000008,0.6183792000000012,79.54550512258648,True,False,False
glass1,decision_tree,ridge,0.01,none,0.00311176538105129,0.7609506833036244,0.7609506833036244,0.7609506833036244,0.0,0.0,0.0,0.0952776000000001,0.7398563999999996,0.6445787999999996,87.12214964958062,True,False,True
haberman,decision_tree,ridge,0.01,none,0.02341348838559343,0.5658193101802125,0.5658193101802125,0.6397058823529411,0.0,0.07388657217272865,0.07388657217272865,0.0980717999999996,0.6776106999999986,0.579538899999999,85.52682240702518,True,False,False
iris0,decision_tree,ridge,0.01,none,-0.0036108355281896376,1.0,1.0,1.0,0.0,0.0,0.0,0.1019786000000024,0.9672043000000058,0.8652257000000034,89.45635374036264,True,False,True
page-blocks0,decision_tree,ridge,0.01,smote_enn,0.028831816213177763,0.9124443797226672,0.9041625104634836,0.9124443797226672,-0.008281869259183616,0.0,0.008281869259183616,2.3035964,7.595065100000003,5.291468700000003,69.66982679318971,False,False,False
